학교명,학급수,학생수,학급당평균학생수,교원수,자치구,전입학생수,전출학생수,주거환경,경제환경,사회환경,교육환경,청소년유동인구,한부모_가구수,한부모_가구원수,저소득,중간,고소득
혜성여자고등학교,36.0,1042.0,28.944444444444443,82.0,노원구,22.0,9.0,6.41,5.35,6.0,5.64,37996.19855950517,"2,629","6,003",35.8,45.7,18.5
경기상업고등학교,20.0,319.0,15.95,49.0,종로구,26.0,20.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
경복고등학교,36.0,834.0,23.166666666666668,84.0,종로구,27.0,23.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
서울과학고등학교,24.0,376.0,15.666666666666666,87.0,종로구,0.0,4.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
서울국제고등학교,18.0,450.0,25.0,66.0,종로구,0.0,2.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
경신고등학교,27.0,645.0,23.88888888888889,60.0,종로구,28.0,34.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
대동세무고등학교,30.0,772.0,25.73333333333333,69.0,종로구,12.0,16.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
대신고등학교,27.0,673.0,24.925925925925927,62.0,종로구,19.0,23.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
덕성여자고등학교,27.0,690.0,25.55555555555556,62.0,종로구,10.0,21.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
동성고등학교,31.0,857.0,27.64516129032258,75.0,종로구,40.0,67.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
배화여자고등학교,27.0,670.0,24.814814814814813,63.0,종로구,6.0,13.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
상명대학교사범대학부속여자고등학교,22.0,428.0,19.454545454545453,50.0,종로구,12.0,19.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
서울예술고등학교,30.0,1090.0,36.333333333333336,49.0,종로구,37.0,2.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
서일국제경영고등학교,15.0,267.0,17.8,33.0,종로구,,,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
중앙고등학교,30.0,975.0,32.5,71.0,종로구,30.0,38.0,6.1,5.19,5.76,5.67,14461.928681640627,367,855,8.3,38.2,53.5
경인고등학교,42.0,1174.0,27.952380952380956,95.0,구로구,17.0,17.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
고척고등학교,30.0,815.0,27.166666666666668,67.0,구로구,13.0,6.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
구로고등학교,33.0,884.0,26.78787878787879,79.0,구로구,28.0,10.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
구일고등학교,30.0,796.0,26.53333333333333,67.0,구로구,16.0,9.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
구현고등학교,27.0,737.0,27.296296296296298,65.0,구로구,10.0,15.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
세종과학고등학교,23.0,443.0,19.26086956521739,81.0,구로구,0.0,4.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
신도림고등학교,27.0,681.0,25.22222222222222,61.0,구로구,23.0,14.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
덕일전자공업고등학교,12.0,278.0,23.166666666666668,27.0,구로구,16.0,2.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
서서울생활과학고등학교,39.0,934.0,23.94871794871795,81.0,구로구,7.0,25.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
서울공연예술고등학교,21.0,782.0,37.23809523809524,38.0,구로구,34.0,29.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
예림디자인고등학교,18.0,369.0,20.5,38.0,구로구,28.0,7.0,6.59,5.54,5.93,5.72,16355.776601065303,"1,308","2,921",22.4,51.1,26.5
