학교명,학급수,학생수,학급당평균학생수,교원수,자치구,사설학원수,전입학생수(계),전출학생수(계),대분류,주거환경,경제환경,사회환경,교육환경
당곡고등학교,29.0,774.0,26.689655172413794,67.0,관악구,431,30.0,13.0,관악구,6.16,5.24,5.81,5.63
삼성고등학교,23.0,446.0,19.391304347826086,52.0,관악구,431,19.0,16.0,관악구,6.16,5.24,5.81,5.63
신림고등학교,24.0,541.0,22.541666666666668,55.0,관악구,431,18.0,9.0,관악구,6.16,5.24,5.81,5.63
인헌고등학교,24.0,536.0,22.333333333333332,57.0,관악구,431,28.0,18.0,관악구,6.16,5.24,5.81,5.63
광신고등학교,27.0,592.0,21.925925925925927,58.0,관악구,431,13.0,11.0,관악구,6.16,5.24,5.81,5.63
광신정보산업고등학교,16.0,299.0,18.6875,36.0,관악구,431,,,관악구,6.16,5.24,5.81,5.63
남강고등학교,32.0,744.0,23.25,68.0,관악구,431,24.0,16.0,관악구,6.16,5.24,5.81,5.63
미림여자고등학교,24.0,519.0,21.625,61.0,관악구,431,10.0,10.0,관악구,6.16,5.24,5.81,5.63
미림여자정보과학고등학교,18.0,337.0,18.72222222222222,47.0,관악구,431,0.0,9.0,관악구,6.16,5.24,5.81,5.63
서울관광고등학교,29.0,719.0,24.79310344827586,63.0,관악구,431,9.0,21.0,관악구,6.16,5.24,5.81,5.63
서울문영여자고등학교,27.0,642.0,23.77777777777778,59.0,관악구,431,4.0,35.0,관악구,6.16,5.24,5.81,5.63
서울미술고등학교,15.0,591.0,39.4,32.0,관악구,431,17.0,17.0,관악구,6.16,5.24,5.81,5.63
서울여자상업고등학교,30.0,762.0,25.4,66.0,관악구,431,0.0,13.0,관악구,6.16,5.24,5.81,5.63
성보고등학교,27.0,734.0,27.185185185185187,58.0,관악구,431,13.0,7.0,관악구,6.16,5.24,5.81,5.63
영락고등학교,21.0,451.0,21.476190476190474,53.0,관악구,431,17.0,12.0,관악구,6.16,5.24,5.81,5.63
영락의료과학고등학교,18.0,356.0,19.77777777777778,42.0,관악구,431,6.0,2.0,관악구,6.16,5.24,5.81,5.63
금옥여자고등학교,31.0,710.0,22.903225806451612,70.0,양천구,"1,008",14.0,16.0,양천구,6.29,5.47,5.91,5.72
