자치구,CCTV 용도,위도,경도,CCTV 수량
중랑구,방범,37.578228,127.0818634,4
중랑구,방범,37.57959592,127.0844602,2
중랑구,방범,37.58893238,127.078213,4
중랑구,방범,37.59194941,127.0863121,2
중랑구,방범,37.59055328,127.0832901,2
중랑구,방범,37.61630906,127.0742938,3
중랑구,방범,37.6182495,127.0845989,3
중랑구,방범,37.58552551,127.0752945,1
중랑구,방범,37.60101119,127.107644,4
중랑구,방범,37.58794785,127.0812454,3
중랑구,방범,37.58650181,127.0821261,4
중랑구,방범,37.59850693,127.0733795,1
중랑구,방범,37.5862236,127.0797348,2
중랑구,방범,37.60662727,127.0766907,1
중랑구,방범,37.57329941,127.0816727,4
중랑구,방범,37.57411199,127.0809314,4
중랑구,방범,37.58391593,127.0905189,4
중랑구,방범,37.58426666,127.0877838,3
중랑구,방범,37.57593504,127.0851931,2
중랑구,방범,37.57470703,127.0828934,3
중랑구,방범,37.57573578,127.0867066,1
중랑구,방범,37.6030389,127.104684,1
중랑구,방범,37.57533638,127.0884181,3
중랑구,방범,37.5755003,127.0814319,4
중랑구,방범,37.57294817,127.0826759,3
중랑구,방범,37.57325104,127.0812431,1
중랑구,방범,37.59364319,127.0995865,1
중랑구,방범,37.59408058,127.0796319,3
중랑구,방범,37.59500466,127.0753182,3
중랑구,방범,37.59450912,127.0953293,2
중랑구,방범,37.59434201,127.0882678,2
중랑구,방범,37.59592056,127.0990524,1
중랑구,방범,37.59398937,127.0757151,3
중랑구,방범,37.58152573,127.094784,2
중랑구,방범,37.59545224,127.1002369,4
중랑구,방범,37.59598049,127.094987,4
중랑구,방범,37.57472307,127.0858298,2
중랑구,방범,37.57364273,127.0838318,1
중랑구,방범,37.59633001,127.0709051,2
중랑구,방범,37.59358215,127.100647,4
중랑구,방범,37.59551935,127.0751406,1
중랑구,방범,37.59577942,127.0881729,3
중랑구,방범,37.59891761,127.0928383,3
중랑구,방범,37.59854889,127.0785904,3
중랑구,방범,37.59839516,127.1040852,3
중랑구,방범,37.59765244,127.0844498,1
중랑구,방범,37.59727217,127.0938884,1
중랑구,방범,37.57382584,127.0869904,3
중랑구,방범,37.59874895,127.0826786,3
중랑구,방범,37.59220294,127.0760023,3
중랑구,방범,37.58547211,127.0833359,3
중랑구,방범,37.59799957,127.0951309,2
중랑구,방범,37.59976257,127.1039261,4
중랑구,방범,37.60046109,127.0890914,3
중랑구,방범,37.59902573,127.0837021,4
중랑구,방범,37.60005987,127.0737691,3
중랑구,방범,37.60055972,127.0902278,3
중랑구,방범,37.59804026,127.0774879,3
중랑구,방범,37.58545382,127.0914186,4
중랑구,방범,37.60165024,127.1101761,1
중랑구,방범,37.60031891,127.086586,4
중랑구,방범,37.6009301,127.0997633,1
중랑구,방범,37.6007838,127.1020275,4
중랑구,방범,37.58716362,127.1016635,2
중랑구,방범,37.58889811,127.1005401,3
중랑구,방범,37.59995504,127.0965839,1
중랑구,방범,37.58889771,127.0752029,3
중랑구,방범,37.58889658,127.0932895,4
중랑구,방범,37.58802487,127.100125,4
중랑구,방범,37.58478546,127.0806503,2
중랑구,방범,37.60102844,127.1033554,4
중랑구,방범,37.60166931,127.0884094,3
중랑구,방범,37.60081336,127.0936933,2
중랑구,방범,37.60045242,127.0845947,2
