,학교명,내부상담_실시여부,외부상담_실시여부,wee클래스_운영여부,학교폭력_예방교육_평균교육시간(1학급당),500미터내_파출소개수,500미터내_CCTV개수,cluster,학교코드,score_1st
200,대신고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.3104098143987046,0.5602220348902424,-0.2891357917068022,0,S010000409,1
201,덕성여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.22512013928398525,1.9718051149286486,-0.9560102520024262,0,S010000417,1
202,동성고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.6486638792382411,0.5602220348902424,0.03354539875882227,0,S010000424,1
203,배화여자고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.03957158076910606,1.9718051149286486,-0.24611163297805227,0,S010000444,1
204,상명대학교사범대학부속여자고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,1.3436333072170186,-0.8513610451481637,-0.9344981726380511,2,S010000450,0.6
205,서울과학고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,0.3198090847174695,3.3833881949670546,0.09808163685194717,4,S010000569,0.4
206,서울국제고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.11302513770463991,0.5602220348902424,-0.2891357917068022,0,S010005494,1
207,서울예술고등학교,-2.5045413298101655,-1.7764695763913763,-1.8232729703268034,-0.5870464404818929,0.5602220348902424,-1.106594807553051,3,S010000625,0.2
208,서일문화예술고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.797659719846812,1.9718051149286486,-0.009478759969927657,0,S010000644,1
209,중앙고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.9560548307741479,-0.8513610451481637,-0.9129860932736762,2,S010000533,0.6
210,대경상업고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-0.26781937076680074,0.5602220348902424,1.6469513510869447,3,S010000633,0.2
211,리라아트고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.10919580535255038,1.9718051149286486,-0.39669618852867705,0,S010000656,1
212,서울의료보건고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,-0.35484965149610614,1.9718051149286486,0.3347145098600718,0,S010000604,1
213,성동고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,-0.8188951083447625,-0.8513610451481637,1.2597339225281954,2,S010000469,0.6
214,성동공업고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.572348884973633,1.9718051149286486,0.9585648114269457,0,S010000591,1
215,성동글로벌경영고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,0.4012694274800993,1.9718051149286486,0.7649560971475711,0,S010000617,1
216,이화여자고등학교,0.3992747047523451,0.5629142279100245,-1.8232729703268034,0.38769270368632774,1.9718051149286486,-0.6118169821724266,0,S010000516,1
217,이화여자외국어고등학교,-2.5045413298101655,0.5629142279100245,-1.8232729703268034,-0.5755584434256246,1.9718051149286486,-0.4612324266218019,3,S010000575,0.2
218,장충고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.1535591741042155,0.5602220348902424,-0.009478759969927657,0,S010000525,1
219,한양공업고등학교,0.3992747047523451,0.5629142279100245,0.548464226846274,1.8498014199386588,0.5602220348902424,1.0015889701556957,0,S010000601,1
220,환일고등학교,0.3992747047523451,-1.7764695763913763,-1.8232729703268034,-0.9351675633991146,-0.8513610451481637,1.1521735257063204,4,S010000566,0.4
